id,OVD_t1,OVD_t2,OVD_t3,OVD_sum,pay_normal,prod_code,prod_limit,update_date,new_balance,highest_balance,report_date
58987402,0,0,0,0,1,10,16500.0,04/12/2016,0.0,,
58995151,0,0,0,0,1,5,,04/12/2016,588720.0,491100.0,
58997200,0,0,0,0,2,5,,04/12/2016,840000.0,700500.0,22/04/2016
54988608,0,0,0,0,3,10,37400.0,03/12/2016,8425.2,7520.0,25/04/2016
54987763,0,0,0,0,2,10,,03/12/2016,15147.6,,26/04/2016
59004828,0,0,0,0,3,10,88000.0,02/12/2016,3196.8,6193.0,15/04/2016
58994429,0,0,0,0,2,10,16500.0,02/12/2016,3252.0,3210.0,
54987756,0,0,0,0,2,1,,02/12/2016,365331.6,304943.0,
58988028,0,0,0,0,4,0,,02/12/2016,16795.2,28500.0,19/04/2016
58993180,0,0,0,0,3,6,,02/12/2016,26688.0,31300.0,20/03/2016
58996551,0,0,0,0,4,10,,02/12/2016,7957.2,9411.0,20/04/2016
54991742,0,0,0,0,4,6,,02/12/2016,60572.4,65401.0,19/04/2016
58991324,0,0,0,0,1,5,,02/12/2016,118800.0,99500.0,
58993672,0,0,0,0,3,10,16500.0,01/12/2016,3487.2,3406.0,15/02/2016
59004333,0,0,0,0,4,10,,01/12/2016,39613.2,,30/04/2016
54991294,0,0,0,0,1,0,,04/11/2016,2617.2,2681.0,
58997200,0,0,0,0,1,5,,04/11/2016,365629.2,310500.0,05/01/2016
54987489,0,0,0,0,1,10,,04/11/2016,0.0,,
54991492,0,0,0,0,1,0,,04/11/2016,28156.8,35700.0,
59005881,0,0,0,0,2,13,,04/11/2016,44400.0,37500.0,
54991294,0,0,0,0,1,0,,04/11/2016,48000.0,40500.0,
58994986,0,0,0,0,1,10,51700.0,03/11/2016,1352.4,,
59001751,0,0,0,0,2,10,108900.0,02/11/2016,6094.8,101068.0,22/03/2016
58992344,0,0,0,0,1,10,27500.0,01/11/2016,0.0,,
54987871,0,0,0,0,5,5,,01/11/2016,204909.6,180500.0,22/04/2016
